GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj,q,logFC
SDR42E1,166.528181894515,3.05500559352171,0.378589787252269,8.069434771852519,7.06243520311803e-16,2.0664219749254997e-13,12.68,3.06
MVP,917.291586433586,1.73136950870493,0.21575456923603095,8.024717691196821,1.01759686422662e-15,2.9450580550976e-13,12.53,1.73
LRRN4,1227.6160200839,-1.78234318507582,0.22214903730775,-8.02318662586274,1.03036625424156e-15,2.949949665100621e-13,12.53,-1.78
PCDHGA6,70.48624897361191,1.34206056211555,0.167305879981463,8.02159829806493,1.04378004124283e-15,2.9565624870352806e-13,12.53,1.34
RP11-210M15.2,111.33132311965099,-1.81208172895701,0.226143169381594,-8.01298457924811,1.11957681978879e-15,3.13787920038908e-13,12.5,-1.81
SUN3,52.280040753311994,2.3315412957214,0.29106002577594603,8.010517038558179,1.14227188577639e-15,3.16813866986273e-13,12.5,2.33
HMOX1,2800.29408524919,1.4851918939949098,0.18599412501758,7.98515487440547,1.4034598881570499e-15,3.8524250496979105e-13,12.41,1.49
IFI6,3183.29045920404,2.9982740228938503,0.37836967782826697,7.9241921289863395,2.2963433894042506e-15,6.23902439655893e-13,12.2,3.0
EGF,227.69957546587295,-1.22011913063191,0.15428983248596698,-7.90796847059171,2.6162304914613402e-15,7.03633869349996e-13,12.15,-1.22
EPAS1,26051.3360897959,1.85824111944858,0.235331920572083,7.89625612594869,2.8740578502110507e-15,7.652466431971949e-13,12.12,1.86
MIPOL1,592.766884953939,-0.556855919566164,0.0706188002105196,-7.88537780174878,3.13585321018243e-15,8.26685421527894e-13,12.08,-0.56
PCOLCE2,116.355452208502,-1.21029171725911,0.153703939777753,-7.874174982171018,3.42998619172824e-15,8.9536090530349e-13,12.05,-1.21
FABP7,248.82077372709702,1.4748319453705,0.18739240474402305,7.8702866713574515,3.53829529233249e-15,9.14666509258688e-13,12.04,1.47
MFAP5,1404.8894374670301,2.10330280791878,0.26743387615109304,7.86475834022792,3.69810653508489e-15,9.46786390415099e-13,12.02,2.1
CTD-2008P7.9,40.9122527624877,2.27000661346056,0.28890605681793896,7.85724826423787,3.9266410012183e-15,9.95721364747032e-13,12.0,2.27
TEK,1860.57519871642,-1.6850890941284695,0.215250350171466,-7.82850802698416,4.9369343401511705e-15,1.22851227795201e-12,11.91,-1.69
GLDN,233.578807575884,2.24513176368876,0.286749664808498,7.82958810148268,4.89470897139474e-15,1.22851227795201e-12,11.91,2.25
C2orf72,576.722320757993,2.57108883871224,0.329570809193426,7.80132453175869,6.126074368901841e-15,1.5103042235776e-12,11.82,2.57
FXYD6,967.3973959476872,-1.06683570673132,0.13690523628045698,-7.792512074160959,6.5689891369242105e-15,1.60464132807105e-12,11.79,-1.07
SFRP4,149.12214973671,2.32195125852467,0.29836975427224394,7.7821267915984,7.1315339199761e-15,1.7262202013934902e-12,11.76,2.32
ERVFRD-1,1088.58430933046,2.70906253716867,0.348406023131043,7.77559042413494,7.509631358300359e-15,1.80136436528023e-12,11.74,2.71
OAS1,224.273098941455,2.99743674280662,0.38644549595587896,7.75642820054718,8.735472820011991e-15,2.07670267237178e-12,11.68,3.0
SLC43A2,33.06412466361039,1.8221757421766105,0.236060027575392,7.719120263148531,1.17135344248227e-14,2.76004042119759e-12,11.56,1.82
SPHK1,325.873569191764,1.36741061413244,0.177445014923972,7.70610893024142,1.29711921630753e-14,3.0295698467898598e-12,11.52,1.37
SLC30A2,163.925237832655,1.59430304823554,0.20696194786867894,7.70336317692156,1.3253099949493699e-14,3.06849599352365e-12,11.51,1.59
RP11-168P6.1,49.7846975425762,2.82583530417376,0.36710000636771,7.697726110479079,1.38508855250491e-14,3.17925584474102e-12,11.5,2.83
NECTIN1,7375.58786657162,0.7369432490315341,0.0957708808593775,7.69485716763537,1.41652321038297e-14,3.22361940168008e-12,11.49,0.74
SLC16A6,183.92034544833302,1.39853077742475,0.181980581991634,7.685054977398889,1.52931305843801e-14,3.45080419440428e-12,11.46,1.4
HAND2,343.556851061624,-2.09867005606956,0.27317132344588,-7.68261481328346,1.55873734177643e-14,3.48764205564195e-12,11.46,-2.1
DGKK,78.72998383291191,-1.29432827454105,0.168674551119534,-7.67352434584991,1.67333754507624e-14,3.71285712293334e-12,11.43,-1.29
KIF5C,254.889269980297,-1.1950012299978998,0.155985941496837,-7.66095468944637,1.8455596779179798e-14,4.06114644497885e-12,11.39,-1.2
DMRTA1,92.2593089535026,-1.64050684521328,0.214940412091094,-7.6323797337748385,2.3045941624073e-14,5.029682308873509e-12,11.3,-1.64
SEMA6B,377.987400901978,-0.92661687596633,0.121553824796003,-7.623099293843019,2.4765622722978e-14,5.361052606683018e-12,11.27,-0.93
MCC,3791.22430683038,-0.7579967227043121,0.0995816501488246,-7.61181122798715,2.70281132853079e-14,5.8036334220533e-12,11.24,-0.76
GADD45G,266.15374137129504,1.82930103919586,0.241255934261532,7.58240846922676,3.3919837706228804e-14,7.17711892798858e-12,11.14,1.83
