,Human_ABCD1_1,Human_ABCD1_2,Human_ABCD1_3,Human_NT_1,Human_NT_2,Human_NT_3
MYMX,1.841,2.434,3.68,3.181,0.994,1.735
SLC29A1,1349.454,1248.466,1255.672,1851.342,1902.617,1926.562
HSP90AB1,21508.413,22614.766,21845.935,32489.668,33358.427,33559.133
SLC35B2,796.233,889.502,846.314,1163.185,1089.482,1166.693
NFKBIE,331.38,346.796,358.763,402.927,427.443,369.525
TMEM151B,0.0,0.0,0.92,3.181,1.988,0.0
RP11-444E17.6,4.603,3.65,2.76,2.121,7.952,3.47
TCTE1,0.0,2.434,0.0,1.06,1.988,0.0
AARS2,353.472,351.664,370.722,480.331,462.235,458.87
CDC5L,1486.608,1652.454,1659.511,1573.534,1459.27,1589.999
MIR4642,0.0,0.0,0.0,0.0,2.982,0.0
SUPT3H,178.577,177.657,190.421,101.792,115.31,111.031
NUDT19P4,0.0,2.434,5.519,0.0,0.0,1.735
RP11-491H9.4,3.682,3.65,2.76,0.0,0.0,4.337
RBM22P4,3.682,7.301,1.84,6.362,7.952,9.542
RP11-491H9.3,1.841,0.0,4.6,2.121,3.976,4.337
MIR586,0.0,0.0,1.84,0.0,0.0,0.867
RUNX2,28.536,17.036,24.837,11.664,21.869,15.614
CLIC5,0.0,0.0,0.0,0.0,1.988,0.0
RP1-8B1.4,0.0,0.0,1.84,0.0,0.0,0.0
ENPP4,326.778,358.965,390.96,107.094,127.239,143.993
ENPP5,5.523,0.0,0.0,0.0,0.0,0.0
ACTG1P9,0.0,0.0,1.84,0.0,0.0,0.0
CYP39A1,0.0,8.518,1.84,2.121,1.988,3.47
SLC25A27,32.218,21.903,33.117,15.905,15.905,12.144
TDRD6,3.682,12.168,3.68,2.121,1.988,0.0
PLA2G7,5.523,0.0,1.84,2.121,0.0,3.47
MEP1A,0.0,0.0,0.0,2.121,0.0,1.735
ADGRF5,1119.329,1264.285,1389.978,1481.285,1673.985,1737.462
RP3-365O12.2,3.682,7.301,1.84,7.422,0.0,3.47
ADGRF1,0.0,0.0,0.0,2.121,0.0,0.867
TNFRSF21,126.109,175.223,155.464,1844.98,1883.73,1917.888
RP11-385F7.1,0.0,2.434,0.92,0.0,0.0,2.602
CD2AP,1544.6,1702.344,1724.824,1763.334,2015.939,2021.979
RP11-812I20.2,11.046,0.0,9.199,5.302,4.97,5.205
ADGRF2,0.0,0.0,0.0,0.0,1.988,4.337
ADGRF4,1.841,0.0,0.0,2.121,0.0,1.735
OPN5,5.523,15.819,7.359,3.181,2.982,3.47
RNU1-105P,0.921,0.0,0.0,0.0,0.0,0.867
PTCHD4,753.89,773.903,769.042,394.444,473.169,443.257
RP1-57E3.1,0.0,2.434,0.0,0.0,0.0,0.0
RP4-724P12.1,0.0,0.0,0.0,2.121,1.988,0.0
RP4-724P12.2,0.0,0.0,0.92,0.0,0.0,0.0
RP1-142O9.2,1.841,0.0,1.84,0.0,5.964,0.0
MUT,731.798,776.337,709.248,603.33,575.557,635.826
CENPQ,33.138,52.324,68.073,114.516,97.417,95.417
C6orf141,161.088,184.958,176.622,262.963,197.817,242.88
CYP2AC1P,5.523,2.434,4.6,6.362,11.929,20.818
RHAG,11.967,4.867,11.039,7.422,17.893,9.542
CRISP2,1.841,4.867,8.279,4.241,4.97,1.735
RP3-442L6.4,1.841,4.867,3.68,7.422,6.958,4.337
CRISP3,0.0,0.0,0.0,0.0,5.964,0.0
PGK2,0.0,0.0,1.84,2.121,0.0,0.0
RP3-417L20.4,0.0,0.0,0.0,2.121,1.988,0.0
CRISP1,1.841,0.0,0.0,0.0,0.0,0.0
TFAP2B,0.0,0.0,0.0,2.121,0.0,0.0
RP4-753D5.4,1.841,3.65,0.92,0.0,0.994,2.602
RP3-437C15.1,8.285,7.301,2.76,2.121,1.988,7.807
PKHD1,0.0,0.0,0.0,0.0,1.988,3.47
RP11-771D21.2,0.0,0.0,0.0,1.06,0.0,2.602
MCM3,702.342,811.625,633.815,1187.573,1105.387,1104.238
PAQR8,85.607,85.178,85.551,292.652,330.026,328.756
EFHC1,667.363,773.903,638.415,441.099,468.199,415.499
TRAM2,6482.164,6658.488,6885.499,4865.869,5026.925,5192.436
RP1-180E22.3,80.084,100.997,80.032,60.439,70.578,76.334
RP1-152L7.5,128.87,116.816,95.67,106.033,91.453,82.406
TMEM14A,236.569,214.162,288.851,225.851,198.811,180.425
RP1-152L7.3,0.0,0.0,1.84,2.121,0.0,0.0
GSTA4,824.768,844.479,847.234,412.47,332.014,407.692
ICK,706.944,668.039,735.005,337.186,300.204,268.903
FBXO9,963.764,845.696,872.071,520.624,531.818,526.53
RP11-506E9.1,1.841,0.0,1.84,0.0,0.0,0.0
RP1-34L19.1,0.0,0.0,1.84,0.0,0.0,0.0
RNU1-136P,0.921,0.0,0.0,1.06,0.0,0.0
ELOVL5,5089.447,5417.322,5247.145,2598.877,2598.454,2683.828
MIR5685,0.921,0.0,2.76,0.0,0.994,3.47
RPS16P5,16.569,7.301,20.238,11.664,6.958,11.277
RP3-483K16.4,1.841,0.0,1.84,1.06,0.0,0.0
GCLC,416.987,418.589,501.349,531.227,447.324,504.844
RP1-27K12.4,5.523,4.867,2.76,4.241,0.0,1.735
KLHL31,3.682,0.0,5.519,0.0,1.988,0.0
RP11-79N23.1,4.603,4.867,3.68,0.0,1.988,3.47
RP13-476E20.1,1.841,0.0,1.84,0.0,0.0,1.735
