,Human_ABCD1_1,Human_ABCD1_2,Human_ABCD1_3,Human_NT_1,Human_NT_2,Human_NT_3
IFT74,299.163,315.159,305.409,416.711,433.407,438.052
RP11-337A23.3,0.0,0.0,0.0,0.0,3.976,0.867
LRRC19,6.444,4.867,12.879,1.06,16.899,13.879
RP11-56F10.3,1.841,2.434,1.84,2.121,0.0,1.735
TEK,8794.461,9723.68,9429.039,6788.253,7187.002,7188.393
RNA5SP280,1.841,0.0,0.0,0.0,0.0,0.0
RP11-179D22.1,7.364,9.735,19.318,7.422,13.917,6.072
RP11-57P14.3,0.0,2.434,4.6,0.0,0.0,0.0
MOB3B,5.523,0.0,3.68,0.0,0.0,0.867
RP11-298E2.2,0.921,0.0,0.0,2.121,0.0,0.0
IFNK,1.841,0.0,0.0,2.121,0.0,1.735
RP11-27J8.3,41.423,37.722,45.075,46.655,51.691,72.864
C9orf72,186.862,143.586,183.981,342.488,312.133,366.055
RP11-535I8.1,0.0,0.0,0.0,0.0,1.988,0.0
LINGO2,0.0,0.0,0.0,0.0,0.0,1.735
RP11-255N24.4,37.741,47.456,76.352,69.982,80.518,74.599
RP11-255N24.3,13.808,9.735,15.638,6.362,10.935,5.205
RP11-550E18.1,0.0,1.217,1.84,0.0,0.0,0.0
ACO1,1609.955,1589.179,1437.814,1650.939,1812.158,1740.932
DDX58,2424.598,2512.752,2335.642,4067.438,3932.473,4076.921
TOPORS,1065.019,1152.337,1039.494,888.559,923.475,935.957
RP11-205M20.3,56.151,53.54,83.711,80.585,71.572,62.455
NDUFB6,585.438,591.379,547.344,453.823,478.139,516.121
RP11-205M20.7,7.364,7.301,4.6,0.0,1.988,2.602
TAF1L,0.0,0.0,1.84,0.0,0.994,0.867
TMEM215,0.0,0.0,0.0,2.121,0.0,0.0
RP11-462B18.3,2.762,2.434,0.0,0.0,0.0,0.867
RP11-462B18.2,1.841,2.434,1.84,0.0,0.0,0.0
RP11-562M8.4,0.921,0.0,0.0,0.0,0.0,0.867
RP11-562M8.2,15.649,7.301,14.719,5.302,7.952,5.205
APTX,334.142,405.204,356.924,628.778,669.992,675.728
TCEA1P,13.808,9.735,12.879,4.241,2.982,10.409
RP11-54K16.2,4.603,4.867,2.76,1.06,5.964,10.409
DNAJA1,4956.895,5335.795,4864.464,5576.292,5723.757,6040.783
SMU1,1554.725,1710.861,1577.639,2423.922,2311.173,2336.856
B4GALT1,631.463,635.185,722.126,1424.027,1422.49,1473.764
RP11-326F20.5,1.841,2.434,3.68,8.483,10.935,12.144
SPINK4,0.0,1.217,0.0,0.0,0.0,0.867
BAG1,820.166,889.502,924.506,911.887,824.07,811.047
CHMP5,1319.998,1266.719,1259.352,2643.411,2668.038,2789.655
NFX1,934.308,865.165,849.993,705.122,688.879,746.857
AQP3,23.933,17.036,18.398,6.362,13.917,11.277
NOL6,525.606,530.537,497.669,1157.884,963.237,1062.602
MIR6851,0.0,0.0,0.0,0.0,1.988,0.867
SUGT1P,41.423,54.757,31.277,63.62,58.649,69.394
RP11-255A11.2,0.0,0.0,0.0,4.241,0.0,0.0
ANKRD18B,227.364,265.269,265.853,79.525,94.435,92.815
RP11-255A11.4,0.921,1.217,1.84,4.241,3.976,0.0
RP11-255A11.14,46.025,26.77,48.755,18.026,15.905,25.155
RP11-255A11.21,33.138,32.854,27.597,4.241,0.994,6.072
RP11-255A11.7,2.762,2.434,2.76,0.0,0.994,0.0
TRBV20OR9-2,1.841,0.0,0.0,0.0,0.0,0.0
ANXA2P2,3045.936,3005.567,2878.387,3387.764,3466.262,3587.691
TRBV23OR9-2,0.0,1.217,0.0,0.0,0.0,0.0
PTENP1,30.377,38.939,39.556,19.086,26.839,20.818
PTENP1-AS,2.762,3.65,1.84,0.0,1.988,0.0
TRBV26OR9-2,0.0,2.434,0.0,0.0,0.0,0.0
RP11-384P7.7,6.444,17.036,11.039,2.121,0.0,5.205
RP11-384P7.5,1.841,0.0,0.0,0.0,0.0,0.0
RP11-384P7.6,0.0,0.0,0.0,4.241,0.0,1.735
PRSS3,660.919,720.363,684.41,132.542,142.15,148.331
RP11-133O22.6,20.251,23.12,20.238,10.603,10.935,13.879
TRBV29OR9-2,11.967,4.867,6.439,2.121,1.988,1.735
UBE2R2,1041.086,1039.172,1062.492,1368.89,1363.841,1431.26
RNU4ATAC11P,3.682,2.434,0.0,0.0,0.994,0.0
UBAP2,834.894,867.599,904.268,756.018,798.224,852.684
SNORD121B,0.0,0.0,1.84,0.0,0.0,0.0
SNORD121A,1.841,2.434,0.92,0.0,0.0,2.602
RP11-176F3.9,10.126,4.867,2.76,4.241,5.964,18.216
RP11-537H15.3,4.603,9.735,6.439,11.664,13.917,11.277
DCAF12,749.287,828.661,862.872,261.902,305.174,291.456
RP11-537H15.5,5.523,2.434,3.68,11.664,1.988,5.205
UBAP1,496.15,517.152,539.065,557.735,571.58,530.0
RP11-571F15.2,4.603,6.084,6.439,2.121,7.952,0.0
AL353662.3,5.523,2.434,3.68,1.06,0.0,2.602
RNA5SP282,0.0,0.0,1.84,0.0,3.976,0.0
RP11-571F15.3,0.921,2.434,1.84,1.06,3.976,1.735
KIF24,64.435,52.324,56.114,69.982,74.554,78.069
RP11-571F15.6,0.0,0.0,0.0,4.241,5.964,6.939
NUDT2,333.221,321.243,319.207,470.788,461.241,468.412
KIAA1161,327.698,352.88,330.246,567.278,520.884,485.761
C9orf24,13.808,3.65,2.76,7.422,7.952,3.47
FAM219A,569.79,630.317,659.573,660.588,714.724,666.186
DNAI1,7.364,4.867,0.0,8.483,1.988,0.0
ENHO,5.523,2.434,7.359,6.362,0.0,2.602
CNTFR,0.0,0.0,0.0,2.121,0.0,0.0
RPP25L,33.138,19.469,30.357,245.997,239.567,230.736
DCTN3,702.342,775.12,733.165,379.599,381.716,338.298
ARID3C,0.0,0.0,1.84,0.0,0.0,1.735
SIGMAR1,660.919,725.23,744.204,671.191,528.836,605.466
GALT,196.987,227.547,214.338,280.988,240.561,244.615
IL11RA,93.891,109.515,91.991,104.973,72.566,98.887
RP11-195F19.30,1.841,0.0,0.0,2.121,0.0,0.0
RP11-195F19.5,1.841,2.434,0.92,0.0,0.0,0.0
RP11-195F19.9,1.841,1.217,5.519,0.0,1.988,0.867
FAM205A,0.921,0.0,0.0,0.0,0.0,0.0
FAM205B,0.0,0.0,0.0,0.0,1.988,0.0
RP11-392A14.2,0.0,1.217,0.0,0.0,0.0,0.0
PHF24,3.682,0.0,1.84,0.0,0.0,0.0
DNAJB5-AS1,4.603,2.434,0.0,2.121,0.0,0.0
DNAJB5,350.711,430.757,394.64,135.723,144.138,146.596
RP11-392A14.9,3.682,7.301,3.68,0.0,0.0,2.602
RP11-392A14.8,3.682,0.0,5.519,0.0,0.0,0.0
RP11-392A14.6,12.887,0.0,5.519,5.302,0.0,0.0
RP11-182N22.9,69.038,30.421,55.194,23.327,31.81,30.36
C9orf131,61.674,20.686,45.995,16.965,17.893,5.205
RN7SL338P,9.205,7.301,8.279,4.241,1.988,11.277
VCP,10284.752,11187.525,10985.521,15225.324,15094.693,14747.178
FANCG,218.159,201.994,205.139,301.135,196.822,230.736
PIGO,640.668,571.91,677.971,726.328,678.938,638.428
RP11-182N22.8,0.0,0.0,0.92,0.0,1.988,1.735
STOML2,1677.152,1787.522,1781.858,2141.873,1944.367,1985.547
FAM214B,1049.371,946.693,1184.839,848.267,735.599,728.641
UNC13B,1412.968,1377.45,1404.697,3570.142,3783.365,3605.907
RP11-395N21.2,9.205,8.518,9.199,6.362,4.97,3.47
ATP8B5P,6.444,14.602,11.959,11.664,8.946,7.807
RUSC2,633.304,636.402,733.165,1146.22,1126.262,1078.216
RP11-156G14.5,10.126,2.434,1.84,3.181,4.97,3.47
FAM166B,3.682,4.867,1.84,3.181,6.958,6.072
TESK1,171.213,192.259,171.103,170.714,142.15,130.982
MIR4667,0.0,0.0,0.0,0.0,0.0,0.867
CD72,1.841,3.65,2.76,2.121,8.946,3.47
RP11-331F9.3,0.0,0.0,0.0,2.121,3.976,0.0
RP11-331F9.4,0.0,2.434,2.76,1.06,0.0,0.0
RMRP,63049.678,65825.578,67243.31,83359.15,88155.593,87594.818
CCDC107,9.205,7.301,11.039,7.422,29.822,3.47
ARHGEF39,14.728,13.385,11.039,45.594,42.744,45.106
CA9,5.523,4.867,1.84,2.121,3.976,0.0
TPM2,3068.948,3335.328,3164.478,1839.678,1841.98,1785.171
TLN1,4750.703,4997.516,5047.526,12802.462,12846.146,12715.657
CREB3,862.509,950.343,882.19,784.647,759.456,837.937
GBA2,2144.766,2069.826,2166.379,2695.367,2545.769,2567.593
RGP1,981.253,1028.22,1003.618,1052.911,1098.428,1105.106
RP11-112J3.16,0.0,4.867,1.84,5.302,3.976,2.602
NPR2,183.18,214.162,193.18,275.687,310.145,306.203
SPAG8,2.762,4.867,5.519,22.267,5.964,9.542
HINT2,238.41,265.269,232.736,273.566,250.501,242.88
TMEM8B,64.435,62.058,81.872,103.913,86.483,93.682
FAM221B,1.841,0.0,1.84,0.0,0.0,0.0
OR13J1,0.0,0.0,1.84,0.0,0.0,0.0
HRCT1,18.41,12.168,12.879,56.198,46.72,71.997
SPAAR,70.879,99.78,73.593,184.498,173.959,213.388
RP11-327L3.4,0.0,0.0,0.0,0.0,1.988,0.0
OR2S2,0.0,2.434,0.0,0.0,0.0,0.0
RP11-327L3.5,193.305,200.777,207.899,174.955,200.799,169.149
RECK,2363.845,2484.765,2468.109,401.866,411.538,492.7
RF02275,0.921,0.0,0.0,3.181,2.982,0.0
GLIPR2,451.045,444.143,493.07,265.083,298.216,240.278
CCIN,3.682,3.65,3.68,2.121,5.964,1.735
CLTA,3622.169,3767.302,3594.074,3702.683,3286.339,3271.079
GNE,308.368,265.269,280.571,503.658,513.925,451.064
RNU4-53P,0.921,0.0,0.0,0.0,1.988,0.0
RP11-84P7.1,0.921,1.217,1.84,2.121,0.0,2.602
RNF38,392.133,463.612,484.791,687.096,805.183,793.698
MELK,185.941,210.511,192.26,321.281,357.859,325.286
RP11-220I1.5,0.0,0.0,0.0,0.0,1.988,0.0
RP11-220I1.1,589.12,677.774,548.264,822.819,817.111,897.79
ZCCHC7,320.334,380.867,301.729,375.358,382.71,395.548
RP11-220I1.4,2.762,0.0,1.84,0.0,1.988,0.0
RNU6-677P,0.921,2.434,0.0,0.0,0.0,0.0
GRHPR,1334.726,1463.845,1522.445,1653.059,1662.056,1740.065
ZBTB5,398.577,410.071,406.599,463.366,495.038,477.954
RP11-405L18.2,0.921,2.434,3.68,1.06,3.976,0.867
POLR1E,248.535,226.33,278.732,302.195,316.109,277.578
RP11-405L18.4,3.682,0.0,6.439,5.302,1.988,5.205
RP11-613M10.6,12.887,10.951,11.039,14.845,14.911,13.011
FBXO10,223.682,211.728,223.537,161.171,126.245,136.187
TOMM5,58.912,60.841,57.954,59.379,74.554,62.455
RP11-613M10.9,4.603,6.084,0.92,4.241,8.946,6.072
RAB1C,0.921,0.0,0.0,0.0,0.0,0.0
FRMPD1,0.0,0.0,1.84,0.0,0.0,0.0
TRMT10B,127.029,98.563,88.311,148.447,118.292,116.236
EXOSC3,239.33,236.065,236.416,312.798,361.835,346.972
DCAF10,720.752,655.871,764.442,498.357,480.128,495.303
RP11-3J10.7,4.603,7.301,11.959,10.603,8.946,6.072
RP11-3J10.5,15.649,7.301,6.439,4.241,11.929,10.409
SLC25A51,304.686,260.401,314.608,414.59,438.377,409.427
RP11-3J10.4,124.268,170.356,131.547,220.549,199.805,215.123
SHB,119.665,126.55,144.425,159.05,147.12,167.414
RNU7-124P,0.0,3.65,8.279,1.06,2.982,3.47
ALDH1B1,206.192,260.401,230.896,704.061,669.992,723.437
IGFBPL1,1.841,0.0,0.0,0.0,1.988,0.0
RP11-403F21.4,0.0,0.0,0.0,0.0,0.0,1.735
RP11-403F21.3,0.0,2.434,0.0,0.0,0.0,0.0
RP11-392E22.9,0.921,0.0,0.0,2.121,0.0,0.867
RP11-392E22.6,0.0,7.301,5.519,0.0,0.994,2.602
ANKRD18A,11.046,2.434,7.359,4.241,7.952,0.0
FAM201A,0.0,4.867,3.68,1.06,5.964,0.0
VN2R3P,1.841,2.434,0.92,0.0,1.988,0.0
CNTNAP3,579.915,659.521,674.291,335.065,308.156,359.983
RP11-290L7.2,5.523,8.518,5.519,2.121,1.988,9.542
RP11-290L7.5,1.841,4.867,1.84,4.241,0.0,0.0
FAM74A5,0.0,0.0,0.0,0.0,0.0,1.735
CTD-2173L22.4,25.774,32.854,46.915,10.603,4.97,15.614
RP11-45O22.2,0.0,2.434,0.0,0.0,0.0,0.0
GLIDR,22.092,31.638,27.597,29.689,29.822,29.493
RP11-204M4.3,0.921,0.0,0.0,0.0,0.0,0.0
RP11-104G3.7,0.0,1.217,0.92,0.0,0.994,0.867
RP11-204M4.1,0.0,0.0,0.0,0.0,0.0,0.867
RP11-204M4.4,1.841,0.0,0.92,0.0,0.0,0.0
RP11-216M21.1,0.921,4.867,5.519,2.121,5.964,0.867
ANKRD20A2,1.841,2.434,1.84,0.0,5.964,2.602
RP11-146D12.2,2.762,7.301,8.279,7.422,1.988,3.47
RP11-146D12.6,0.0,0.0,0.0,0.0,0.0,0.867
RP11-146D12.7,1.841,0.0,1.84,0.0,0.0,1.735
FAM95B1,5.523,2.434,1.84,0.0,4.97,4.337
RP11-341A11.2,1.841,2.434,1.84,2.121,0.0,0.0
AC129778.2,1.841,6.084,0.92,0.0,1.988,0.0
AC129778.3,0.921,2.434,0.92,0.0,1.988,0.867
CH17-80A12.1,3.682,6.084,2.76,4.241,2.982,6.072
RP11-318K12.2,0.0,2.434,0.0,0.0,0.0,0.0
RP11-318K12.3,0.921,2.434,1.84,1.06,0.0,0.0
MIR1299,2.762,1.217,2.76,0.0,0.0,0.0
FRG1HP,153.724,143.586,147.185,154.809,167.995,141.391
PGM5P2,55.23,68.142,74.512,39.232,39.762,43.372
RP11-87H9.4,79.163,65.709,52.435,60.439,57.655,71.997
RP11-87H9.5,5.523,17.036,3.68,3.181,4.97,9.542
RP11-58A12.3,1.841,2.434,1.84,3.181,0.0,1.735
CBWD6,92.05,83.961,85.551,71.042,71.572,85.008
RP11-4L24.4,21.172,25.553,29.437,19.086,18.887,22.553
RP11-4L24.3,16.569,14.602,9.199,8.483,11.929,18.216
RP11-187C18.3,12.887,24.337,13.799,5.302,10.935,6.939
RP11-157L3.3,1.841,0.0,0.0,0.0,0.0,0.0
RP11-157L3.4,0.921,0.0,0.0,2.121,0.0,0.0
RP11-157L3.10,2.762,2.434,0.0,0.0,0.0,0.0
RP11-157L3.5,0.0,0.0,0.0,0.0,0.0,0.867
RP11-157L3.9,0.0,0.0,1.84,2.121,1.988,0.0
RP11-157L3.6,1.841,0.0,0.92,0.0,0.0,0.0
RP11-157L3.12,0.0,2.434,5.519,0.0,1.988,2.602
RP11-292F9.1,0.0,2.434,2.76,0.0,1.988,0.0
CNTNAP3B,1811.545,1828.894,1848.092,894.921,955.285,1055.662
RP11-24B13.1,34.059,20.686,43.236,10.603,14.911,6.939
RP11-24B13.2,62.594,37.722,43.236,23.327,13.917,22.553
RN7SL343P,0.0,2.434,0.0,0.0,0.0,0.0
AL162415.2,0.0,0.0,0.92,0.0,0.0,1.735
ATP5A1P1,0.0,0.0,0.92,0.0,0.0,0.0
RAB28P3,0.0,0.0,0.92,0.0,0.0,0.0
RP11-475I24.3,7.364,4.867,11.959,4.241,1.988,7.807
RP11-475I24.8,0.0,0.0,0.0,0.0,1.988,0.0
RP11-213O5.4,0.0,2.434,3.68,0.0,1.988,1.735
ANKRD20A7P,12.887,15.819,7.359,2.121,8.946,13.879
RNU6-599P,0.0,0.0,0.0,1.06,0.0,0.0
CR848007.2,7.364,6.084,3.68,2.121,2.982,0.867
RP11-459O16.7,1.841,1.217,0.0,0.0,0.994,0.0
SNX18P5,3.682,0.0,3.68,2.121,0.0,1.735
RP11-459O16.5,5.523,2.434,2.76,1.06,1.988,2.602
CNN2P4,1.841,0.0,0.0,0.0,0.0,0.0
GXYLT1P5,0.0,3.65,3.68,0.0,0.0,1.735
RP11-459O16.9,0.0,1.217,0.0,0.0,0.0,0.0
RP11-459O16.8,0.0,2.434,3.68,0.0,0.0,0.0
CH17-469D17.1,2.762,0.0,2.76,0.0,0.0,0.0
RP11-144A16.3,0.0,0.0,0.0,2.121,0.0,0.0
RP11-101E5.7,12.887,13.385,17.478,4.241,0.0,15.614
FAM74A4,0.0,0.0,0.0,2.121,0.0,0.0
CH17-296N19.1,36.82,46.239,42.316,10.603,34.792,46.841
FAM27C,6.444,4.867,6.439,6.362,6.958,4.337
RP11-374M1.11,0.921,0.0,0.0,1.06,0.0,0.0
RP11-374M1.10,0.0,2.434,0.0,0.0,0.0,0.0
RP11-374M1.9,0.0,2.434,0.0,0.0,0.0,0.0
RP11-374M1.2,0.921,1.217,1.84,2.121,5.964,2.602
RP11-111F5.2,1.841,0.0,5.519,0.0,0.0,0.0
RP11-111F5.3,0.0,0.0,0.92,0.0,0.0,0.0
RP11-111F5.1,0.921,0.0,0.0,0.0,0.0,0.0
RP11-111F5.4,3.682,0.0,0.0,2.121,3.976,0.0
RP11-111F5.5,0.0,0.0,0.0,0.0,0.0,4.337
RP11-111F5.8,3.682,2.434,1.84,0.0,0.0,0.0
RP11-211N8.7,0.0,0.0,0.0,0.0,1.988,0.0
RP11-211N8.2,8.285,0.0,0.92,11.664,4.97,1.735
RP11-211N8.8,0.0,1.217,0.92,0.0,0.0,0.0
BX664724.2,1.841,0.0,0.0,0.0,0.0,0.0
RP11-262H14.1,76.402,73.01,80.952,47.715,49.703,54.648
RNA5SP283,0.921,1.217,1.84,0.0,2.982,0.0
RP11-262H14.13,9.205,9.735,7.359,7.422,8.946,5.205
RP11-262H14.9,5.523,6.084,0.0,8.483,2.982,6.072
RP11-262H14.2,2.762,2.434,4.6,14.845,5.964,7.807
RP11-262H14.3,2.762,2.434,2.76,2.121,0.0,0.867
RP11-262H14.8,1.841,0.0,0.0,0.0,0.0,0.0
RP11-262H14.7,0.0,0.0,1.84,0.0,0.0,0.0
RP11-262H14.4,37.741,23.12,25.757,54.077,49.703,44.239
RP11-262H14.12,0.0,0.0,1.84,0.0,0.0,0.0
RP11-381O7.1,0.0,2.434,0.0,0.0,0.0,0.0
RP11-381O7.3,1.841,2.434,0.0,2.121,0.0,2.602
AQP7P1,42.343,17.036,34.956,12.724,8.946,18.216
RP11-236F9.2,38.661,8.518,36.796,24.388,13.917,26.023
RP11-236F9.4,7.364,3.65,5.519,8.483,2.982,11.277
RP11-452D2.1,0.921,0.0,0.92,0.0,0.0,0.0
RP11-452D2.2,1.841,2.434,1.84,0.0,0.994,1.735
RP11-764K9.1,4.603,2.434,3.68,0.0,1.988,5.205
DUX4L50,6.444,1.217,10.119,6.362,5.964,7.807
MIR4477B,0.921,0.0,0.0,0.0,0.0,0.0
FRG1JP,3.682,17.036,1.84,4.241,3.976,1.735
BX255923.2,0.0,4.867,5.519,1.06,0.0,1.735
ANKRD20A4,12.887,8.518,18.398,2.121,4.97,5.205
RP11-250H24.1,8.285,31.638,20.238,7.422,0.994,2.602
RP11-250H24.2,0.0,2.434,0.0,0.0,0.0,0.0
RP11-250H24.4,1.841,2.434,0.0,0.0,0.0,0.0
AQP7P2,0.0,0.0,0.0,0.0,1.988,0.0
BMS1P11,6.444,6.084,1.84,2.121,2.982,1.735
RP11-250H24.6,0.0,0.0,0.0,0.0,0.994,0.0
IGKV1OR-2,0.0,0.0,0.0,0.0,0.994,0.867
BNIP3P4,3.682,2.434,1.84,3.181,2.982,1.735
RP11-460N11.2,61.674,49.89,40.476,74.223,87.477,78.069
RP11-15J10.4,0.921,3.65,1.84,1.06,0.994,0.0
RP11-15J10.8,0.0,1.217,1.84,0.0,2.982,0.0
IGKV1OR9-1,1.841,2.434,0.0,0.0,0.994,1.735
FOXD4L5,0.0,0.0,0.0,0.0,0.0,1.735
RP11-15J10.1,22.092,36.505,50.595,29.689,13.917,26.89
ABC14-1080714F14.1,0.0,0.0,0.92,0.0,0.0,0.0
CBWD5,274.309,292.039,251.134,238.575,244.537,323.551
FOXD4L4,0.0,0.0,0.0,0.0,7.952,1.735
IGKV1OR-3,1.841,0.0,2.76,3.181,0.0,1.735
RP11-460E7.5,0.0,2.434,0.92,0.0,0.994,1.735
RP11-1221G12.3,0.0,0.0,1.84,2.121,0.0,0.0
RP11-15E1.5,0.0,7.301,1.84,0.0,0.0,0.867
RP11-15E1.1,2.762,10.951,1.84,0.0,0.0,0.867
RP11-15E1.6,1.841,0.0,0.0,0.0,1.988,0.0
RP11-399F4.1,0.921,0.0,0.0,0.0,0.0,0.0
RP11-399F4.2,12.887,1.217,7.359,2.121,0.0,0.0
SNX18P4,3.682,10.951,3.68,4.241,1.988,5.205
RP11-327I22.3,0.0,0.0,0.0,1.06,0.0,0.0
ANKRD20A3,10.126,8.518,15.638,4.241,6.958,6.939
RP11-93P10.2,0.0,2.434,0.0,0.0,0.0,0.0
ZNF658,130.711,118.032,91.991,58.318,65.607,42.504
RP11-203I2.1,634.225,672.906,586.9,384.901,377.74,308.805
RN7SL422P,3.682,0.0,0.0,1.06,1.988,3.47
RP11-292B8.2,32.218,19.469,27.597,11.664,20.875,13.879
RP11-292B8.1,21.172,21.903,22.078,14.845,11.929,16.481
RP11-12A20.11,0.921,0.0,0.0,0.0,0.0,0.0
FAM27E3,21.172,12.168,17.478,8.483,8.946,9.542
RP11-12A20.13,1.841,2.434,0.92,0.0,0.0,0.0
RP11-12A20.4,1.841,0.0,1.84,0.0,0.0,4.337
RP11-12A20.6,6.444,1.217,8.279,5.302,4.97,1.735
FAM27B,0.921,1.217,4.6,3.181,0.0,1.735
RP11-12A20.7,18.41,40.155,34.037,18.026,30.816,20.818
RN7SL787P,0.0,7.301,0.0,0.0,0.0,1.735
ANKRD20A1,17.49,13.385,7.359,12.724,9.941,8.674
RP11-195B21.3,11.046,8.518,5.519,9.543,1.988,7.807
CBWD3,79.163,64.492,57.954,78.465,85.489,77.201
RP11-561O23.9,0.0,0.0,0.0,4.241,1.988,0.0
FOXD4L3,1.841,0.0,0.0,0.0,0.0,0.0
PGM5,3.682,2.434,0.0,0.0,0.994,0.867
RP11-88I18.2,2.762,10.951,8.279,2.121,3.976,9.542
TMEM252,0.0,0.0,1.84,0.0,0.0,0.0
RP11-274B18.3,0.0,0.0,0.92,0.0,0.0,0.0
PIP5K1B,2.762,4.867,1.84,1.06,2.982,3.47
FAM122A,210.795,237.282,215.258,202.524,184.894,208.183
RP11-203L2.3,0.0,0.0,1.84,0.0,0.0,1.735
FXN,113.222,80.311,73.593,127.24,107.358,132.717
RP11-16N10.2,107.699,58.408,64.393,102.852,104.376,78.936
RP11-265B8.5,1.841,0.0,0.0,0.0,1.988,2.602
TJP2,52.469,35.288,55.194,99.671,73.56,75.466
FAM189A2,44.184,68.142,42.316,249.178,250.501,246.35
APBA1,14.728,19.469,11.039,15.905,8.946,11.277
RP11-470P21.2,0.0,1.217,0.0,0.0,0.0,0.0
RP11-109D9.4,0.0,0.0,0.92,0.0,0.0,0.0
PTAR1,1641.252,1788.739,1842.572,1825.894,2158.089,2218.886
C9orf135,0.0,0.0,0.92,0.0,1.988,1.735
RP11-195E11.2,0.921,2.434,0.0,6.362,0.994,2.602
MAMDC2,55.23,60.841,68.073,72.103,80.518,85.008
RP11-373A9.3,22.092,8.518,30.357,22.267,31.81,19.951
RP11-373A9.1,145.439,149.67,126.027,162.231,135.191,138.789
SMC5,879.998,966.162,941.064,1249.072,1319.108,1584.795
RP11-386J22.3,7.364,7.301,18.398,16.965,15.905,9.542
KLF9,367.28,317.592,294.37,117.697,148.114,179.558
TRPM3,58.912,65.709,68.993,11.664,12.923,15.614
RP11-161E22.2,3.682,3.65,0.92,16.965,12.923,13.879
RP11-563H8.2,0.0,0.0,0.92,0.0,0.0,0.0
TMEM2,6159.989,6839.795,6381.39,4081.222,4094.504,4357.101
ABHD17B,173.975,195.909,211.578,253.42,196.822,248.952
C9orf85,190.544,139.935,169.263,151.628,144.138,188.232
RP11-346E17.4,13.808,17.036,20.238,2.121,5.964,12.144
C9orf57,0.0,0.0,1.84,0.0,0.0,0.0
RP11-63P12.2,0.0,2.434,0.0,0.0,0.0,0.0
RP11-63P12.6,16.569,30.421,13.799,4.241,13.917,11.277
ZFAND5,1806.942,1954.227,1860.051,2982.717,3361.887,3266.741
TMC1,7.364,4.867,6.439,9.543,6.958,7.807
RP11-151D14.1,7.364,4.867,1.84,6.362,0.0,5.205
ALDH1A1,886.442,1087.845,918.986,3506.522,3712.788,3906.037
RP11-71A24.3,0.0,0.0,0.92,0.0,0.0,0.0
ANXA1,15263.738,16558.608,15470.064,13015.589,13134.421,14231.057
RP11-171A24.3,1.841,0.0,0.0,0.0,0.0,0.0
RORB,0.0,2.434,1.84,0.0,0.0,0.0
TRPM6,1.841,2.434,0.0,6.362,4.97,5.205
C9orf40,74.561,82.744,87.391,82.706,93.441,84.141
RP11-197P3.4,11.046,7.301,7.359,5.302,9.941,8.674
CARNMT1,173.975,125.333,152.704,361.574,395.633,414.632
RP11-197P3.5,5.523,0.0,3.68,3.181,4.97,4.337
NMRK1,397.656,462.395,447.074,376.418,404.58,329.623
OSTF1,1150.626,1181.541,1140.684,1737.886,1674.979,1640.31
RNU6-1228P,0.0,0.0,1.84,0.0,0.0,0.0
RP11-323A7.1,0.0,2.434,0.0,0.0,0.0,0.0
PCSK5,161.088,188.608,193.18,58.318,39.762,57.25
RFK,928.785,1061.075,1004.538,340.367,346.924,380.802
RP11-422N19.3,30.377,19.469,31.277,26.508,35.786,22.553
GCNT1,1865.854,1872.7,1911.565,1360.407,1278.352,1486.775
RP11-66C24.1,1.841,0.0,0.0,2.121,0.994,0.867
RP11-214N16.2,3.682,4.867,5.519,2.121,0.0,0.0
PRUNE2,2300.331,2465.295,2293.326,946.877,1011.946,963.715
PCA3,17.49,26.77,28.517,5.302,4.97,6.072
VPS13A-AS1,1.841,2.434,0.0,2.121,1.988,0.0
VPS13A,2181.586,2366.732,2321.843,1965.858,2215.744,2303.027
GNA14,255.899,339.495,280.571,89.068,80.518,86.743
RP11-466A17.1,7.364,8.518,10.119,0.0,0.994,0.0
RP11-111E2.1,2.762,2.434,12.879,0.0,0.0,1.735
RNU6-1303P,3.682,0.0,3.68,0.0,0.0,1.735
GNAQ,2903.258,3182.008,3116.643,2807.762,3059.695,3105.399
RP11-336N8.1,0.921,0.0,0.0,0.0,0.0,0.0
RN7SKP59,0.0,2.434,0.0,0.0,0.0,0.0
RP11-336N8.2,0.0,2.434,0.0,0.0,0.0,0.0
RP11-336N8.4,0.0,0.0,0.0,2.121,0.0,0.0
CEP78,449.204,383.301,365.203,432.616,517.902,549.083
PSAT1,427.112,400.337,433.276,815.396,827.052,795.433
RP11-507F17.1,1.841,0.0,0.0,0.0,0.0,0.0
CHCHD9,7.364,12.168,11.959,10.603,11.929,5.205
TLE4,713.388,815.275,732.245,1162.125,1185.905,1186.644
RP11-289F5.1,0.0,0.0,0.0,0.0,0.0,3.47
TLE1,489.706,523.236,551.944,838.724,828.046,796.301
RP11-15B24.5,0.0,0.0,0.0,4.241,0.0,0.0
RASEF,0.0,0.0,0.0,11.664,7.952,2.602
RP11-439K3.1,11.046,6.084,9.199,8.483,5.964,13.879
FRMD3,127.95,175.223,173.862,373.237,388.675,386.874
RNU4-29P,0.0,0.0,2.76,3.181,1.988,5.205
RP11-439K3.3,2.762,1.217,5.519,4.241,4.97,0.867
IDNK,108.619,109.515,90.151,67.861,52.685,54.648
UBQLN1,2240.498,2326.577,2232.613,1929.806,1868.819,1985.547
RP11-522I20.3,47.866,76.66,54.274,60.439,31.81,33.83
GKAP1,48.787,34.071,29.437,53.017,50.697,52.913
